player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
-5,0.5,0,0,0,38.3,18.5,0,0,0,33.3,42.9,0,0,0,-0.404,-17.7,-2.7,-20.4,0
16.6,0.543,0.279,0.252,2.5,12,7.2,25.4,1.3,0.4,12.2,25.7,2.9,2.3,5.3,0.106,0.9,-0.6,0.3,1.4
-9.4,0.143,0.429,0,7.5,0,3.6,17.1,0,0,12.5,22.8,-0.1,0,-0.1,-0.299,-15.2,-7.4,-22.6,-0.1
6.3,0.441,0.353,0,4.1,0,2,18.9,0,0,10.5,15,0,0,0,0.003,-3,-2.3,-5.3,0
22.9,0.555,0.012,0.448,16.4,36.4,26.2,14.3,2.2,4.3,15.9,21.2,4.6,5.7,10.3,0.189,1.5,1.7,3.2,3.4
8.8,0.553,0.656,0.287,1.2,13.6,7.3,15.6,1.7,1.3,16.9,10.2,0.5,0.4,0.8,0.058,-3,0.5,-2.5,-0.1
14.5,0.488,0.201,0.171,1.6,14.4,7.8,33.3,3.3,1.6,17.3,24.7,-1,1.9,0.9,0.027,-2.4,1.1,-1.3,0.3
26,0.64,0.338,0.331,1.6,19.5,11.2,25.5,1,4,12.9,30.4,7.5,2.9,10.4,0.215,6.7,0.6,7.3,5.5
4,0,1,0,0,18,9.1,0,8.3,0,0,7.4,0,0,0,-0.026,-7,5.6,-1.3,0
-13.5,0,1,0,0,0,0,0,0,0,0,14.5,0,0,0,-0.373,-13.3,-8.8,-22.1,0
10.5,0.476,0.411,0.199,3.3,24.3,13.6,9.4,0.8,0,10.2,23.8,-0.2,0.4,0.1,0.02,-2.6,-1.9,-4.4,-0.2
12.5,0.588,0.827,0.111,1.3,10.7,6,5.9,1.3,0.3,6.6,17.3,2.6,1.9,4.5,0.105,1,-0.6,0.4,1.2
22.9,0.573,0.203,0.442,8.4,29.7,19.4,18,1,4.8,15.6,33.4,2.3,3.8,6.2,0.155,2,1.3,3.3,2.6
11.9,0.61,0.378,0.329,5.7,11.7,8.6,7,1.5,1.1,13,12.5,1.5,0.6,2,0.093,-0.5,-0.1,-0.6,0.4
11.2,0.558,0.426,0.265,3.9,9.6,6.7,5.9,1.4,1,9,16,0.5,0.5,1,0.09,-2.2,-0.2,-2.3,-0.1
